carries,mean_solving_time
0,6.677900000000001
1,7.973399999999998
2,9.889100000000001
3,8.990555555555556
0,16.571999999999996
1,17.3748
2,14.841555555555553
3,16.93911111111111
0,4.056666666666666
1,7.6524
2,8.653999999999998
3,9.026555555555555
0,10.765888888888888
1,17.0798
2,22.584799999999998
3,33.6319
0,5.4939
1,8.187375
2,10.475000000000001
3,10.1495
0,14.255555555555553
1,19.132777777777775
2,33.05125
3,39.41033333333334
0,6.937625
1,24.0925
2,21.870000000000005
3,27.131125
0,10.483
1,13.747444444444445
2,19.7604
3,25.389699999999998
0,9.8716
1,9.7294
2,26.0111
3,13.003199999999998
0,9.901333333333334
1,31.757300000000004
2,16.425800000000002
3,21.8477
0,7.934875
1,14.5989
2,19.309500000000007
3,14.7875
0,4.376399999999999
1,10.9031
2,16.3364
3,12.2863
0,10.868
1,11.6877
2,14.111399999999998
3,12.500333333333332
0,8.271666666666668
1,13.087700000000003
2,16.005200000000002
3,13.138900000000001
0,5.2801
1,10.018444444444444
2,8.8931
3,9.028666666666664
0,4.766625
1,12.955444444444446
2,16.7678
3,13.411699999999996
0,8.523900000000001
1,11.096249999999998
2,13.694666666666667
3,13.704571428571427
0,9.455333333333334
1,19.048333333333332
2,21.017100000000003
3,28.519600000000004
0,12.197
1,16.528125
2,23.0683
3,19.334374999999998
0,2.8261000000000003
1,9.157
2,10.592555555555556
3,11.366399999999999
0,6.401777777777778
1,10.344
2,16.95788888888889
3,15.7487
0,4.725888888888888
1,6.5424999999999995
2,11.992900000000002
3,6.1803
0,18.408666666666665
1,20.210166666666666
2,27.610500000000002
3,35.80075
0,10.700857142857142
1,10.191600000000001
2,10.825555555555555
3,13.262222222222222
0,5.107333333333333
1,14.122900000000001
2,18.172
3,12.839599999999999
0,8.1677
1,14.890888888888888
2,21.568
3,13.040444444444443
0,5.0952
1,21.4586
2,16.256
3,13.912600000000001
0,3.616222222222222
1,15.226111111111111
2,11.5183
3,11.198599999999999
0,7.5048
1,11.242
2,17.741899999999998
3,14.262900000000002
0,39.29028571428572
1,43.63333333333333
2,24.69688888888889
3,43.73842857142857
