operator,operand digits,input dimension,output dimension,total operations,carries,carry operations,carry percentage
add,4,8,5,256,0,81,31.640625
add,4,8,5,256,1,54,21.09375
add,4,8,5,256,2,52,20.3125
add,4,8,5,256,3,42,16.40625
add,4,8,5,256,4,27,10.546875
add,6,12,7,4096,0,729,17.7978515625
add,6,12,7,4096,1,648,15.8203125
add,6,12,7,4096,2,729,17.7978515625
add,6,12,7,4096,3,712,17.3828125
add,6,12,7,4096,4,603,14.7216796875
add,6,12,7,4096,5,432,10.546875
add,6,12,7,4096,6,243,5.9326171875
add,8,16,9,65536,0,6561,10.01129150390625
add,8,16,9,65536,1,7290,11.1236572265625
add,8,16,9,65536,2,9234,14.0899658203125
add,8,16,9,65536,3,10242,15.6280517578125
add,8,16,9,65536,4,10084,15.386962890625
add,8,16,9,65536,5,8814,13.4490966796875
add,8,16,9,65536,6,6750,10.2996826171875
add,8,16,9,65536,7,4374,6.6741943359375
add,8,16,9,65536,8,2187,3.33709716796875
subtract,4,8,4,136,0,81,59.55882352941176
subtract,4,8,4,136,1,27,19.852941176470587
subtract,4,8,4,136,2,19,13.970588235294118
subtract,4,8,4,136,3,9,6.61764705882353
subtract,6,12,6,2080,0,729,35.04807692307692
subtract,6,12,6,2080,1,405,19.471153846153847
subtract,6,12,6,2080,2,378,18.173076923076923
subtract,6,12,6,2080,3,298,14.326923076923077
subtract,6,12,6,2080,4,189,9.086538461538462
subtract,6,12,6,2080,5,81,3.894230769230769
subtract,8,16,8,32896,0,6561,19.94467412451362
subtract,8,16,8,32896,1,5103,15.512524319066149
subtract,8,16,8,32896,2,5589,16.98990758754864
subtract,8,16,8,32896,3,5355,16.278574902723737
subtract,8,16,8,32896,4,4483,13.627796692607003
subtract,8,16,8,32896,5,3213,9.76714494163424
subtract,8,16,8,32896,6,1863,5.66330252918288
subtract,8,16,8,32896,7,729,2.2160749027237356
multiply,4,8,8,256,0,161,62.890625
multiply,4,8,8,256,1,11,4.296875
multiply,4,8,8,256,2,17,6.640625
multiply,4,8,8,256,3,20,7.8125
multiply,4,8,8,256,4,29,11.328125
multiply,4,8,8,256,5,5,1.953125
multiply,4,8,8,256,6,4,1.5625
multiply,4,8,8,256,8,8,3.125
multiply,4,8,8,256,12,1,0.390625
multiply,6,12,12,4096,0,1279,31.2255859375
multiply,6,12,12,4096,1,182,4.443359375
multiply,6,12,12,4096,2,301,7.3486328125
multiply,6,12,12,4096,3,265,6.4697265625
multiply,6,12,12,4096,4,342,8.349609375
multiply,6,12,12,4096,5,315,7.6904296875
multiply,6,12,12,4096,6,394,9.619140625
multiply,6,12,12,4096,7,152,3.7109375
multiply,6,12,12,4096,8,162,3.955078125
multiply,6,12,12,4096,9,104,2.5390625
multiply,6,12,12,4096,10,147,3.5888671875
multiply,6,12,12,4096,11,83,2.0263671875
multiply,6,12,12,4096,12,135,3.2958984375
multiply,6,12,12,4096,13,54,1.318359375
multiply,6,12,12,4096,14,50,1.220703125
multiply,6,12,12,4096,15,42,1.025390625
multiply,6,12,12,4096,16,10,0.244140625
multiply,6,12,12,4096,18,46,1.123046875
multiply,6,12,12,4096,19,13,0.3173828125
multiply,6,12,12,4096,20,6,0.146484375
multiply,6,12,12,4096,21,1,0.0244140625
multiply,6,12,12,4096,24,12,0.29296875
multiply,6,12,12,4096,30,1,0.0244140625
multiply,8,16,16,65536,0,8147,12.43133544921875
multiply,8,16,16,65536,1,2049,3.12652587890625
multiply,8,16,16,65536,2,2771,4.22821044921875
multiply,8,16,16,65536,3,2884,4.400634765625
multiply,8,16,16,65536,4,3499,5.33905029296875
multiply,8,16,16,65536,5,3321,5.06744384765625
multiply,8,16,16,65536,6,4020,6.134033203125
multiply,8,16,16,65536,7,3499,5.33905029296875
multiply,8,16,16,65536,8,4453,6.79473876953125
multiply,8,16,16,65536,9,3116,4.754638671875
multiply,8,16,16,65536,10,2910,4.4403076171875
multiply,8,16,16,65536,11,2333,3.55987548828125
multiply,8,16,16,65536,12,3254,4.9652099609375
multiply,8,16,16,65536,13,1942,2.9632568359375
multiply,8,16,16,65536,14,2509,3.82843017578125
multiply,8,16,16,65536,15,1864,2.84423828125
multiply,8,16,16,65536,16,2303,3.51409912109375
multiply,8,16,16,65536,17,1455,2.22015380859375
multiply,8,16,16,65536,18,1618,2.4688720703125
multiply,8,16,16,65536,19,864,1.318359375
multiply,8,16,16,65536,20,961,1.46636962890625
multiply,8,16,16,65536,21,1007,1.53656005859375
multiply,8,16,16,65536,22,748,1.141357421875
multiply,8,16,16,65536,23,722,1.1016845703125
multiply,8,16,16,65536,24,824,1.25732421875
multiply,8,16,16,65536,25,329,0.50201416015625
multiply,8,16,16,65536,26,320,0.48828125
multiply,8,16,16,65536,27,362,0.5523681640625
multiply,8,16,16,65536,28,430,0.6561279296875
multiply,8,16,16,65536,29,159,0.24261474609375
multiply,8,16,16,65536,30,144,0.2197265625
multiply,8,16,16,65536,31,10,0.0152587890625
multiply,8,16,16,65536,32,226,0.3448486328125
multiply,8,16,16,65536,33,106,0.1617431640625
multiply,8,16,16,65536,34,128,0.1953125
multiply,8,16,16,65536,35,82,0.1251220703125
multiply,8,16,16,65536,36,20,0.030517578125
multiply,8,16,16,65536,37,10,0.0152587890625
multiply,8,16,16,65536,40,85,0.12969970703125
multiply,8,16,16,65536,41,21,0.03204345703125
multiply,8,16,16,65536,42,10,0.0152587890625
multiply,8,16,16,65536,43,3,0.00457763671875
multiply,8,16,16,65536,44,1,0.00152587890625
multiply,8,16,16,65536,48,16,0.0244140625
multiply,8,16,16,65536,56,1,0.00152587890625
divide,4,8,4,240,0,214,89.16666666666667
divide,4,8,4,240,1,13,5.416666666666667
divide,4,8,4,240,2,9,3.75
divide,4,8,4,240,3,4,1.6666666666666667
divide,6,12,6,4032,0,3207,79.53869047619048
divide,6,12,6,4032,1,264,6.547619047619048
divide,6,12,6,4032,2,235,5.828373015873016
divide,6,12,6,4032,3,178,4.4146825396825395
divide,6,12,6,4032,4,108,2.6785714285714284
divide,6,12,6,4032,5,40,0.992063492063492
divide,8,16,8,65280,0,47975,73.49111519607843
divide,8,16,8,65280,1,3660,5.606617647058823
divide,8,16,8,65280,2,3837,5.877757352941177
divide,8,16,8,65280,3,3551,5.439644607843137
divide,8,16,8,65280,4,2869,4.394914215686275
divide,8,16,8,65280,5,1955,2.994791666666667
divide,8,16,8,65280,6,1069,1.637561274509804
