carries,mean_solving_time
0,11.032
1,8.139777777777779
2,13.006500000000003
3,9.818699999999998
4,11.3359
0,3.0388
1,5.201444444444444
2,8.2212
3,7.779444444444445
4,9.946333333333335
0,2.0791000000000004
1,4.354666666666667
2,6.766125
3,7.8152
4,8.802999999999999
0,2.1799
1,5.3498
2,5.072699999999999
3,5.5085999999999995
4,6.928
0,4.5009999999999994
1,6.2138
2,8.908
3,10.2322
4,10.8282
0,4.856
1,8.4906
2,13.5708
3,10.712299999999999
4,11.221
0,3.0363
1,5.858699999999999
2,8.692
3,10.09675
4,19.488428571428575
0,5.150000000000001
1,8.942799999999998
2,15.771333333333335
3,11.690444444444445
4,13.712
0,1.6731000000000003
1,2.5368000000000004
2,5.8283000000000005
3,6.097799999999999
4,8.194999999999999
0,2.6986000000000003
1,6.754600000000001
2,11.7756
3,9.702900000000001
4,13.1655
0,4.780399999999998
1,7.213199999999999
2,14.459857142857143
3,13.103888888888891
4,12.302800000000001
0,4.726000000000001
1,8.079777777777776
2,10.245999999999999
3,12.9772
4,10.8436
0,3.7519
1,8.4057
2,7.697399999999999
3,9.326200000000002
4,10.158666666666665
0,2.3636
1,3.7084
2,6.612111111111112
3,8.229200000000002
4,7.738222222222223
0,4.074600000000001
1,8.693299999999999
2,12.881400000000003
3,14.645300000000002
4,11.343699999999998
0,2.8892999999999995
1,5.826300000000001
2,8.760700000000002
3,11.149600000000001
4,15.202100000000002
0,2.5004
1,6.040444444444445
2,8.80825
3,8.648444444444443
4,9.816444444444446
0,3.7827999999999995
1,4.9239
2,6.834666666666666
3,10.695400000000001
4,11.812
0,2.2024999999999997
1,3.4911000000000003
2,5.9322
3,8.012699999999999
4,7.177000000000001
0,3.0453
1,5.3803
2,5.5764000000000005
3,9.567777777777776
4,9.992700000000001
0,3.6943999999999995
1,5.353999999999999
2,8.0726
3,19.9666
4,14.336666666666664
0,6.739999999999999
1,7.2867999999999995
2,14.999374999999999
3,14.819599999999998
4,23.15716666666667
0,2.6233999999999993
1,6.9843
2,9.6748
3,12.465555555555556
4,9.7277
0,6.766499999999999
1,7.412400000000001
2,7.7233
3,9.408555555555555
4,12.892125
0,2.9961
1,3.8775000000000004
2,6.850874999999999
3,11.645444444444443
4,12.461599999999999
0,4.017200000000001
1,6.4412
2,8.4036
3,12.491222222222223
4,15.9989
0,4.8452
1,6.571199999999999
2,8.754000000000001
3,12.335777777777778
4,14.9195
0,2.6443000000000003
1,7.527100000000002
2,6.9044
3,8.365599999999999
4,8.256444444444446
0,2.5602
1,4.8093
2,5.778
3,8.501333333333333
4,8.117700000000001
0,2.9673000000000007
1,3.8434999999999997
2,10.440499999999998
3,10.3168
4,12.201777777777778
