carries,mean_solving_time
0,2.8849000000000005
1,3.9011000000000005
2,4.334666666666667
3,5.378166666666666
4,6.471666666666667
0,4.2625
1,4.5391
2,4.237875
3,6.515777777777777
4,6.966142857142858
0,2.9937
1,2.9957000000000003
2,3.368875
3,4.093249999999999
4,4.308857142857143
0,4.2843
1,4.8122
2,4.706
3,5.8858
4,5.966375
0,4.16
1,4.24875
2,5.02925
3,6.672285714285714
4,6.595700000000001
0,3.3732222222222226
1,3.734222222222222
2,6.49388888888889
3,8.63211111111111
4,8.559111111111111
0,4.6385
1,5.092222222222222
2,5.7306
3,8.850444444444443
4,10.8488
0,5.0625
1,4.521111111111111
2,5.774375
3,7.260888888888889
4,13.427444444444443
0,4.1149
1,4.2089
2,4.380333333333334
3,4.697
4,5.156666666666666
0,3.110888888888889
1,3.5787777777777774
2,3.6621111111111113
3,4.3073749999999995
4,4.849
0,3.7372000000000005
1,4.355600000000001
2,5.185199999999999
3,5.037555555555556
4,6.1924
0,4.044625
1,4.3732
2,4.233499999999999
3,5.139799999999999
4,5.783444444444444
0,5.2468
1,6.375222222222223
2,5.918625
3,7.934000000000002
4,12.8749
0,4.338777777777778
1,4.479111111111111
2,4.9957777777777785
3,5.6407
4,6.176
0,3.8486666666666665
1,4.010777777777777
2,4.264333333333333
3,5.3187
4,5.678888888888888
0,3.3647142857142858
1,3.7800999999999996
2,4.345333333333333
3,4.661142857142857
4,5.780299999999999
0,3.6972
1,4.2918
2,4.276875
3,4.4672222222222215
4,5.2311250000000005
0,4.0035
1,4.4919
2,4.557777777777778
3,5.572800000000001
4,5.434222222222221
0,3.267285714285715
1,3.8932222222222217
2,4.658857142857143
3,4.693333333333333
4,5.445222222222223
0,3.4638888888888886
1,3.1496666666666666
2,4.057
3,3.8120000000000003
4,3.7897499999999997
0,3.5879999999999996
1,4.2574
2,4.9886
3,4.610888888888889
4,4.909888888888888
0,2.8825999999999996
1,2.989875
2,3.4331111111111103
3,3.757555555555556
4,3.8137999999999996
0,4.064222222222222
1,4.379
2,4.26711111111111
3,5.133666666666667
4,4.711124999999999
0,3.982699999999999
1,4.624499999999999
2,5.430299999999999
3,5.1649
4,4.9725
0,3.2693333333333334
1,3.9067499999999997
2,4.1305555555555555
3,4.02575
4,5.858300000000001
0,3.8554999999999993
1,3.9936249999999998
2,4.6079
3,5.2561
4,5.912000000000001
0,7.200799999999999
1,7.404444444444445
2,8.234000000000002
3,7.6036
4,10.361799999999999
0,4.023000000000001
1,5.363285714285714
2,5.510555555555555
3,6.205000000000001
4,6.330749999999999
0,3.1999
1,3.1582857142857144
2,4.488428571428572
3,6.861666666666667
4,6.123666666666667
0,4.0495
1,5.15088888888889
2,5.760599999999999
3,6.054200000000001
4,5.427222222222222
0,4.488222222222222
1,4.783333333333334
2,5.7541
3,5.8291
4,7.586777777777779
0,4.2888
1,4.9717
2,4.496
3,5.110399999999999
4,6.888333333333333
0,2.4558888888888886
