solving_time,carries
18.402,0
18.158,0
15.422,2
22.807,1
18.71,3
3.9730000000000003,0
12.517999999999999,2
7.525,0
2.365,0
4.051,1
14.63,3
3.589,3
5.966,1
7.125,1
3.213,0
17.852999999999998,2
12.439,3
7.468999999999999,3
7.07,1
5.127999999999999,0
5.446000000000001,3
16.173,2
3.213,0
5.629,2
6.218999999999999,1
3.655,2
8.052999999999999,3
12.117,2
11.927999999999999,1
4.445,1
8.677,3
4.914,2
7.109,1
4.773,2
2.15,0
2.454,3
2.6519999999999997,0
5.837000000000001,2
3.014,1
3.037,3
51.75899999999999,0
37.541,0
41.031000000000006,1
18.646,2
21.87,2
22.824,1
66.487,0
21.061999999999998,0
17.317999999999998,2
16.702,2
8.662,0
15.662,0
28.158,3
11.357999999999999,1
8.918,2
7.045,1
5.622000000000001,3
6.494,1
3.127,0
7.246,3
10.759,3
12.17,1
5.98,0
10.286,2
22.646,3
10.812000000000001,3
16.207,1
27.574,2
24.605999999999998,1
23.125999999999998,1
3.446,0
1.909,0
22.349,3
15.35,3
8.887,1
13.902000000000001,2
9.758,2
22.406,3
14.35,3
7.246,2
7.542000000000001,0
2.454,0
5.19,0
12.725999999999999,1
12.743,2
4.814,1
4.294,1
14.302999999999999,3
11.158,1
4.789,2
5.598,3
4.51,1
8.478,3
16.086,3
11.782,3
14.831,2
2.3819999999999997,0
1.5019999999999998,0
10.15,3
11.95,2
3.9819999999999998,3
6.046,3
6.47,1
11.517999999999999,2
7.382000000000001,3
3.534,0
3.2539999999999996,2
8.597999999999999,0
5.462000000000001,1
4.622,2
2.494,0
9.766,1
10.982000000000001,2
9.574,1
7.582000000000001,3
3.2939999999999996,0
12.902000000000001,2
1.974,0
3.0380000000000003,2
7.75,1
56.415,3
30.184,0
25.619,2
7.096,0
40.623000000000005,3
29.230999999999998,2
28.511999999999997,0
19.328,2
4.603,0
20.264,2
15.943,2
21.835,1
28.433000000000003,3
18.2,1
31.999000000000002,1
16.303,1
17.582,3
18.088,2
22.433000000000003,0
21.065,2
19.327,1
13.208,1
17.257,1
7.896,0
5.184,1
36.284,2
79.87,3
34.071999999999996,3
23.508000000000003,2
4.1530000000000005,0
16.518,2
3.8560000000000003,0
30.910999999999998,3
15.557,1
22.293000000000003,3
4.1530000000000005,0
6.44,0
11.959000000000001,3
14.161,3
11.927999999999999,1
12.094000000000001,0
6.51,3
12.894,1
8.51,3
6.07,0
4.414,0
11.184000000000001,3
5.5489999999999995,1
20.07,3
7.053999999999999,0
5.541,2
24.061999999999998,3
6.005,0
13.765999999999998,2
4.038,0
7.1,2
6.782,3
2.862,0
10.838,2
3.11,0
4.1419999999999995,1
4.43,3
4.35,0
20.414,1
5.687,3
5.31,3
6.398,1
2.958,2
15.062000000000001,2
7.622000000000001,1
6.046,2
5.07,1
3.486,2
22.918000000000003,2
6.382000000000001,1
8.95,3
20.326,2
3.8539999999999996,1
4.942,0
4.65,1
42.11600000000001,3
19.983,1
30.174,3
22.65,1
15.593,1
6.922000000000001,0
32.245,0
24.245,1
27.226999999999997,2
59.49,3
26.000999999999998,3
25.566999999999997,0
10.415999999999999,0
5.7620000000000005,0
24.089000000000002,3
15.22,1
6.265,1
54.068000000000005,3
41.218999999999994,2
17.273,3
23.609,2
16.373,0
27.533,2
23.873,2
21.295,1
16.621,0
16.36,2
31.871,3
8.127,0
18.307000000000002,2
49.67100000000001,3
16.325,1
13.505999999999998,1
23.378,1
22.318,3
57.513000000000005,2
11.889000000000001,0
35.763000000000005,2
47.076,2
10.751,0
43.806000000000004,1
19.118,1
23.101999999999997,1
80.127,3
13.622,0
25.166,1
20.558000000000003,2
72.95100000000001,3
14.597999999999999,1
3.182,0
