solving_time,carries
10.147,1
10.335999999999999,0
35.229,2
17.85,3
14.51,2
26.046999999999997,3
10.370999999999999,1
4.6819999999999995,1
2.735,3
13.135,2
11.466,3
2.68,0
4.923,3
1.722,0
13.862,2
2.056,0
8.049,3
7.768,2
3.2239999999999998,1
2.053,1
17.727,2
2.022,0
10.73,3
2.927,3
2.824,3
4.592,0
2.267,0
7.961,3
1.426,0
1.84,2
1.744,0
1.263,0
15.503,2
6.042999999999999,1
3.2239999999999998,1
4.231,1
21.066,2
3.655,2
6.055,1
3.287,1
24.285,3
16.55,2
6.117999999999999,1
5.605,3
15.374,2
3.3360000000000003,0
14.765999999999998,2
13.414000000000001,1
10.118,2
34.510999999999996,3
4.558,0
4.958,0
3.8539999999999996,0
18.646,2
8.27,3
16.758,1
3.2460000000000004,0
4.486000000000001,0
7.837999999999999,3
11.318,1
2.542,0
27.598000000000003,3
5.782,2
6.877999999999999,0
6.419,2
2.702,0
8.862,1
10.334000000000001,1
8.213,2
9.838,1
8.91,3
2.67,0
10.918,3
7.278,1
8.254,2
5.437,3
15.222000000000001,3
14.558,1
6.142,1
6.446000000000001,2
55.153,3
46.81,3
8.128,1
31.873,2
4.216,0
3.112,0
11.082,2
36.777,3
17.424,2
20.08,3
7.28,0
21.912,2
9.527999999999999,1
3.3360000000000003,0
17.552,1
9.56,2
7.704,3
26.320999999999998,3
7.992000000000001,2
2.656,0
4.216,0
4.352,1
6.08,3
16.104,2
15.432,2
7.52,1
4.303999999999999,1
3.728,1
43.225,3
2.608,0
21.824,3
4.3839999999999995,0
7.899,2
2.688,0
17.4,3
4.3919999999999995,1
3.464,0
24.689,2
7.648,1
14.546,1
12.934000000000001,0
9.686,0
13.63,3
4.75,0
7.837999999999999,3
2.9819999999999998,0
12.886,2
3.406,0
7.558,2
16.015,2
18.846,3
9.75,2
7.35,1
18.046,2
11.725999999999999,2
8.158,3
5.07,1
12.424000000000001,3
6.662000000000001,1
3.366,0
2.262,0
5.006,1
2.998,0
5.07,1
7.03,3
5.15,1
3.19,0
7.11,0
11.83,3
8.357999999999999,1
6.102,3
14.87,1
5.67,1
4.662,1
7.63,2
7.534,3
19.87,3
6.782,2
7.694,2
7.166,2
19.695999999999998,2
29.104,1
13.232000000000001,1
15.136,3
13.024000000000001,2
15.888,3
9.496,0
20.568,2
13.456,2
9.568,1
4.64,3
15.104000000000001,3
5.896,2
11.2,1
15.984000000000002,0
11.48,0
11.72,1
4.488,0
12.288,2
14.16,3
13.255999999999998,2
16.184,3
15.408,3
17.336,3
14.032,3
11.456,3
5.4239999999999995,2
6.584,1
7.568,1
13.2,1
7.712000000000001,2
11.064,2
4.551,0
7.024,1
13.744000000000002,1
5.064,0
5.4879999999999995,0
3.432,0
2.928,0
3.904,0
9.189,1
7.558,2
3.0380000000000003,1
5.006,0
10.966,2
5.022,1
3.4939999999999998,0
2.821,1
5.182,3
6.678,2
3.5980000000000003,0
5.422000000000001,3
9.126,2
33.510999999999996,3
5.614,2
5.766,3
2.214,0
1.51,0
2.4459999999999997,0
1.933,0
6.862,3
2.79,0
16.718,3
4.126,1
3.725,1
12.814,2
1.6380000000000001,0
4.494,1
8.814,3
10.694,3
6.126,1
2.766,3
5.766,2
3.702,2
6.301,0
9.198,1
2.8139999999999996,2
2.037,1
2.693,2
12.302,3
20.628,2
23.334,3
3.645,0
22.694000000000003,2
2.045,0
3.342,3
20.901999999999997,3
3.533,3
6.598,1
4.294,1
3.678,0
9.27,2
11.374,1
6.781000000000001,2
6.077999999999999,3
3.502,3
12.357999999999999,1
5.797000000000001,2
21.502,1
4.886,1
24.718000000000004,3
1.6780000000000002,0
25.03,3
1.9169999999999998,3
2.149,0
6.013999999999999,1
4.2780000000000005,1
1.742,0
8.621,2
5.518,2
1.694,0
5.23,1
2.622,0
2.294,0
9.35,2
4.853,2
3.766,2
2.701,0
3.965,1
7.654,3
17.174,1
8.51,0
5.926,0
26.934,2
19.662,3
8.214,3
6.102,0
3.1180000000000003,0
38.479,3
17.198,3
2.59,0
14.15,3
16.15,3
21.454,3
12.822000000000001,3
11.638,2
31.381999999999998,2
26.125999999999998,3
15.325999999999999,1
10.254000000000001,2
7.47,3
3.7739999999999996,0
4.19,1
2.5980000000000003,0
4.07,1
5.182,2
10.109,2
2.55,0
6.877999999999999,2
2.101,0
8.094,2
6.19,2
3.15,0
4.398,1
3.438,1
3.438,1
9.861,1
2.662,1
4.064,1
10.782,2
11.854000000000001,3
5.19,0
21.381999999999998,3
26.622,3
7.855,3
24.038,2
3.638,0
3.55,0
6.2620000000000005,1
4.342,1
5.749,2
5.926,1
4.43,1
20.285999999999998,3
5.654,0
5.102,1
5.518,1
19.294,3
7.8839999999999995,1
7.877999999999999,2
8.566,2
4.12,0
15.998,2
2.95,0
4.774,1
7.558,1
17.278,2
7.446000000000001,3
14.206,2
30.135,3
2.47,0
6.797999999999999,1
10.302,2
25.221999999999998,3
3.35,0
8.07,2
6.382000000000001,3
4.573,0
1.8769999999999998,0
8.382,2
12.606,0
42.9,3
22.871,2
6.622000000000001,0
13.75,1
6.398,0
35.486999999999995,3
33.031,2
23.087,2
7.431,0
14.392999999999999,0
20.33,1
8.898,0
21.463,2
20.924,2
10.446,3
22.381999999999998,1
21.351,3
33.838,3
19.721,2
12.569,2
20.543000000000003,3
4.2219999999999995,0
12.51,1
9.79,1
4.444,0
18.382,3
18.805999999999997,2
12.905999999999999,2
12.214,1
3.95,0
20.012,3
12.481,1
12.622,1
20.807,3
13.126,2
10.975999999999999,1
24.679000000000002,3
11.318,1
2.9019999999999997,0
77.67,3
21.807,1
8.083,0
18.963,1
6.547999999999999,0
6.037000000000001,0
18.506,2
11.06,1
15.55,1
7.303,1
26.993000000000002,3
10.571,1
17.76,2
17.771,2
20.038,3
18.424,3
7.422999999999999,1
20.776,3
9.096,1
15.705,3
17.682000000000002,3
20.064,3
25.335,3
19.997,2
23.201,2
8.001,0
14.728,2
5.496,0
7.519,1
5.688,0
4.6,0
18.837,2
19.699,2
35.336,2
5.222,0
18.146,2
8.263,1
4.9110000000000005,0
24.819000000000003,3
3.734,0
20.144000000000002,1
11.398,1
7.093999999999999,0
14.814,2
20.238,3
9.51,1
14.446,2
19.039,3
14.206,3
11.038,2
13.485999999999999,3
4.782,0
18.718,2
18.301,2
8.07,0
11.535,2
4.806,0
4.966,0
17.174,3
5.815,0
10.054,3
12.038,2
14.136,1
10.998,3
14.254000000000001,2
8.384,1
7.894,1
8.125,2
